INDEX,DATE,RATE
RPI,2008-12-01,0.009
RPI,2009-01-01,0.001
RPI,2009-02-01,0
RPI,2009-03-01,-0.004
RPI,2009-04-01,-0.012
RPI,2009-05-01,-0.011
RPI,2009-06-01,-0.016
RPI,2009-07-01,-0.014
RPI,2009-08-01,-0.013
RPI,2009-09-01,-0.014
RPI,2009-10-01,-0.008
RPI,2009-11-01,0.003
RPI,2009-12-01,0.024
RPI,2010-01-01,0.037
RPI,2010-02-01,0.037
RPI,2010-03-01,0.044
RPI,2010-04-01,0.053
RPI,2010-05-01,0.051
RPI,2010-06-01,0.05
RPI,2010-07-01,0.048
RPI,2010-08-01,0.047
RPI,2010-09-01,0.046
RPI,2010-10-01,0.045
RPI,2010-11-01,0.047
RPI,2010-12-01,0.048
RPI,2011-01-01,0.051
RPI,2011-02-01,0.055
RPI,2011-03-01,0.053
RPI,2011-04-01,0.052
RPI,2011-05-01,0.052
RPI,2011-06-01,0.05
RPI,2011-07-01,0.05
RPI,2011-08-01,0.052
RPI,2011-09-01,0.056
RPI,2011-10-01,0.054
RPI,2011-11-01,0.052
RPI,2011-12-01,0.048
RPI,2012-01-01,0.039
RPI,2012-02-01,0.037
RPI,2012-03-01,0.036
RPI,2012-04-01,0.035
RPI,2012-05-01,0.031
RPI,2012-06-01,0.028
RPI,2012-07-01,0.032
RPI,2012-08-01,0.029
RPI,2012-09-01,0.026
RPI,2012-10-01,0.032
RPI,2012-11-01,0.03
RPI,2012-12-01,0.031
RPI,2013-01-01,0.033
RPI,2013-02-01,0.032
RPI,2013-03-01,0.033
RPI,2013-04-01,0.029
RPI,2013-05-01,0.031
RPI,2013-06-01,0.033
RPI,2013-07-01,0.031
RPI,2013-08-01,0.033
RPI,2013-09-01,0.032
RPI,2013-10-01,0.026
RPI,2013-11-01,0.026
RPI,2013-12-01,0.027
RPI,2014-01-01,0.028
RPI,2014-02-01,0.027
RPI,2014-03-01,0.025
RPI,2014-04-01,0.025
RPI,2014-05-01,0.024
RPI,2014-06-01,0.026
RPI,2014-07-01,0.025
RPI,2014-08-01,0.024
RPI,2014-09-01,0.023
RPI,2014-10-01,0.023
RPI,2014-11-01,0.02
RPI,2014-12-01,0.016
RPI,2015-01-01,0.011
RPI,2015-02-01,0.01
RPI,2015-03-01,0.009
RPI,2015-04-01,0.009
RPI,2015-05-01,0.01
RPI,2015-06-01,0.01
RPI,2015-07-01,0.01
RPI,2015-08-01,0.011
RPI,2015-09-01,0.008
RPI,2015-10-01,0.007
RPI,2015-11-01,0.011
RPI,2015-12-01,0.012
RPI,2016-01-01,0.013
RPI,2016-02-01,0.013
RPI,2016-03-01,0.016
RPI,2016-04-01,0.013
RPI,2016-05-01,0.014
RPI,2016-06-01,0.016
